Yuya,2.1,1795,0,0,0,0,590,0,385,0,0,88,61,481,190,0,0
Tuya,2.2,1104,0,0,0,0,495,0,370,0,0,154,1,30,40,14,0
Kha,4.1,1075.5,0,0,0,64,495,0,50,0,0,256,20,52.5,120,18,0
Neferkhewet,9,1086.5,30,0,70,16,95,0,165,8,66,92,377,19.5,85,18,45
H+,10,18,0,0,0,13,,0,0,5,0,0,0,0,0,0,0
S+,11,97,0,12,8,19,,0,0,48,0,0,0,0,10,0,0
S&N,12,233,30,17,3,10,,0,0,28,2,0,34,0,0,4,105
Sanimay,16.2,116,0,0,0,0,40,0,50,0,0,16,0,0,10,0,0
I+,16,283.5,2,0,9,21,,4,0,57,134,0,26,25,0,5.5,0
N Man,13,235,0,0,0,0,95,0,35,20,0,0,0,60,25,0,0
NuMan,19.1,98,0,0,0,0,40,0,50,0,0,,0,8,0,0,0
NuWoman,19.2,228,0,0,0,0,40,0,50,0,0,124,0,0,0,14,0
SR+,20,325,2,2,19,21,,0,0,0,275,2,4,0,0,0,0
SRWoman,20.2,90,0,0,0,0,40,0,50,0,0,0,0,0,0,0,0
N Woman,13.1,154.5,0,0,0,0,95,0,0,0,0,40,0,0,0,19.5,0
B+,9.2,400,0,0,7,10,,0,0,8,0,0,375,0,0,0,0
Harmose,22,89,0,0,0,0,40,0,20,5,0,0,2,20,0,2,0
Aahmes,29,111,0,0,0,0,95,0,0,0,10,0,0,0,0,6,0
Sn Woman,22.2,63,0,0,4,3,40,0,0,0,12,2,0,0,0,2,0
Nu+,19,212,0,0,6,105,,0,0,0,16,30,46,0,0,9,0
# 18 ?,31,191,0,0,1,9,40,0,0,28,0,42,32,14,0,25,0
#68 m,27.1,40,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
#69 f,27.2,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
#70 f,27.3,57,0,0,0,0,40,0,0,5,0,0,0,0,0,12,0
#71 f,27.4,44,0,0,0,3,20,0,0,2,0,2,0,12,0,5,0
#75 f,27.5,22,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0
#76 f,27.6,22,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0
DeM 1372,21.1,75,2,1,10,26,,0,0,0,34,0,2,0,0,0,0
DeM 1372a,21.11,78,0,0,0,0,20,0,50,0,0,8,0,0,0,0,0
DeM 1372b,21.12,70,0,0,0,0,20,0,50,0,0,0,0,0,0,0,0
DeM 1372c,21.13,72,0,0,0,0,20,0,50,0,0,2,0,0,0,0,0
DeM 1373,21.2,60.5,0,0,0,0,5,2.5,50,0,1,2,0,0,0,0,0
DeM 1374,21.3,63,0,0,2,0,5,0,50,0,6,0,0,0,0,0,0
DeM 1375,21.4,147.5,0,0,6,3,20,10.5,50,2,45,0,0,3,0,8,0
DeM 1376,21.5,60.5,0,1,6,16,5,3.5,0,2,14,10,2,0,0,1,0
DeM 1377,21.6,147,0,0,5,28,20,1,50,20,17,0,0,0,0,6,0
DeM 1378,21.7,12,0,0,0,3,5,0,0,0,4,0,0,0,0,0,0
DeM 1383,21.8,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
DeM 1384,21.9,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
DeM 1390,21.95,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
Sn Man,22.4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
HatnoferIV f c,23.1,68,0,0,0,0,20,0,0,0,0,48,0,0,0,0,0
NeferkhewetVIII,24,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
NeferkhewetVII,24.1,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
NeferkhewetIX,24.2,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
NeferkhewetX,24.3,22,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0
# 77 m 2c,30.1,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
# 77a m,30.15,40,0,0,0,0,,0,0,0,0,40,0,0,0,0,0
# 78 f,30.2,221,0,0,0,6,20,0,0,0,20,166,0,0,0,9,0
# 79 f,30.3,60,0,0,0,0,20,0,0,0,0,40,0,0,0,0,0
# 80 c,30.4,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
# 29 c,33.25,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
# 30 c,33.25,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
# 35 ?,33.45,40,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
# 40 c,33.75,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
# 41 c,33.76,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
# 42 c,33.77,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
# 44 c,33.85,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
# 45 c,33.86,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
# 46 m,33.87,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
# 56 c,34.65,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
# 58 m,34.75,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
# 59a f,34.81,16,0,0,0,0,,0,0,0,10,6,0,0,0,0,0
# 59d ?,34.82,5,0,0,0,0,,0,0,0,0,4,1,0,0,0,0
# 60 f,34.85,40,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
# 61 c,34.86,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
# 62a c,34.91,18,0,0,0,0,,0,0,0,0,18,0,0,0,0,0
# 62b ?,34.92,4,0,0,0,0,,0,0,0,0,4,0,0,0,0,0
# 63a f ,35.11,28.5,0,0,0,0,,0,0,0,20,4,0,0,0,4.5,0
# 83a c,36.1,80,0,0,0,0,,0,0,0,0,80,0,0,0,0,0
# 83b c,36.2,9,0,0,0,3,,0,0,0,0,6,0,0,0,0,0
# 83c c,36.3,4,0,0,0,0,,0,0,0,0,4,0,0,0,0,0
# 65,35.3,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
# 65a f,35.31,1.5,0,0,0,0,,0,0,0,0,0,0,0,0,1.5,0
