Tutankhamen,,,3,4320,1,80
Y&T,7,,,105,2,
Mahirper,2,,,30,3,
Khay,3,,,45,6,
Nakht,3,,,45,5,
Hatnofer,5,,3,795,8,
Neferkhewet,3,,,45,9,
S&N,2,5,,105,12,
K&M,14,15,4,1395,4,
